city,category,min_rating,max_rating,avg_rating
"San Antonio","Health and beauty",5,9.1,7.05
Harlingen,"Electronic accessories",9.6,9.6,9.6
"Haltom City","Home and lifestyle",3,9.5,6.227777777777778
Bedford,"Health and beauty",6.1,9.3,8.15
Irving,"Sports and travel",5.3,5.3,5.3
Denton,"Electronic accessories",4.1,9,6.7
Cleburne,"Electronic accessories",5.8,7.8,7.25
Canyon,"Home and lifestyle",3,9,6.25
Grapevine,"Health and beauty",7.2,7.2,7.2
"Texas City","Food and beverages",5.5,5.9,5.7
Irving,"Fashion accessories",3,9.8,6.206896551724138
"San Angelo","Electronic accessories",3,7,5.8307692307692305
Abilene,"Electronic accessories",7.1,8.8,7.966666666666666
"San Angelo","Food and beverages",8.2,8.5,8.35
Lewisville,"Health and beauty",5.5,5.7,5.6
"Corpus Christi","Sports and travel",4.5,4.5,4.5
"Round Rock","Health and beauty",4.6,8.7,6.6499999999999995
"Cedar Park","Sports and travel",6.6,6.9,6.75
Conroe,"Food and beverages",4,8.6,6.866666666666667
Irving,"Home and lifestyle",4,9.7,6.265217391304348
Pharr,"Electronic accessories",4.8,4.8,4.8
Cleburne,"Health and beauty",4.2,5.6,4.875
"Farmers Branch","Home and lifestyle",3,9,6.2625
"Haltom City","Electronic accessories",4.5,9.9,8.033333333333333
Midland,"Sports and travel",5.4,6,5.7
Houston,"Home and lifestyle",3,9,6.163888888888889
Lancaster,"Fashion accessories",4,9,5.809375
Temple,"Fashion accessories",3,9,5.2089108910891095
Garland,"Food and beverages",4.2,9.9,6.871428571428571
"San Marcos","Health and beauty",5,7.4,6.58
Huntsville,"Fashion accessories",4,9.7,6.837837837837838
"Mineral Wells","Sports and travel",4.5,5.1,4.8
McAllen,"Sports and travel",5.1,9.3,7.2
"Eagle Pass","Health and beauty",5.1,5.1,5.1
Mesquite,"Food and beverages",7.5,7.5,7.5
"Big Spring","Sports and travel",6.8,8,7.340000000000001
Mission,"Sports and travel",7,7,7
Hurst,"Electronic accessories",4.7,6.5,5.55
Hurst,"Health and beauty",6.6,8.1,7.475
Richardson,"Home and lifestyle",3,9.8,5.45188679245283
Pearland,"Home and lifestyle",3,9,6.540909090909091
Cleburne,"Home and lifestyle",3,9,6.975
"La Porte","Sports and travel",5.6,9.5,7.166666666666667
Bryan,"Food and beverages",4.5,9.1,6.65
Allen,"Health and beauty",4.4,7.2,5.933333333333334
Rowlett,"Electronic accessories",3,9.5,5.966666666666667
"Port Arthur","Health and beauty",4.2,8.4,6.300000000000001
"Grand Prairie","Food and beverages",4.1,7.1,5.6
Georgetown,"Electronic accessories",7.6,9.4,8.325
McAllen,"Fashion accessories",3,9,5.787096774193548
Southlake,"Food and beverages",5.2,9.5,7.35
Angleton,"Food and beverages",6.9,8.5,7.7
Mission,"Fashion accessories",4,9,6.609375
"Missouri City","Fashion accessories",4,9,5.656666666666666
"Fort Worth","Home and lifestyle",4,9,6.6189189189189195
Bryan,"Electronic accessories",6.1,8.2,7.1499999999999995
"San Antonio","Home and lifestyle",3,9.5,5.4575000000000005
Grapevine,"Home and lifestyle",3,9,6.062162162162163
Lewisville,"Electronic accessories",5.8,9.3,7.566666666666666
Bryan,"Sports and travel",4.5,10,7.25
"Del Rio","Home and lifestyle",3,9.9,5.783333333333333
"League City","Sports and travel",8.7,10,9.35
Rockwall,"Sports and travel",6.3,9.7,7.76
Waxahachie,"Health and beauty",4.8,9.5,7.2
Bryan,"Health and beauty",5.8,7.9,6.85
Killeen,"Health and beauty",6.7,9.8,8.25
"Round Rock","Fashion accessories",3,9.9,5.092
"San Angelo","Health and beauty",4.3,8.7,6.5
Arlington,"Food and beverages",5.5,9.6,7.55
McKinney,"Fashion accessories",3,9,6.279411764705882
"Eagle Pass","Food and beverages",4,9,6.5
"Farmers Branch","Electronic accessories",5,8.7,6.566666666666666
Lancaster,"Home and lifestyle",3,9.4,5.8999999999999995
"San Antonio","Electronic accessories",3,9.9,5.517647058823529
"Port Arthur","Fashion accessories",3,9.2,5.442735042735042
Alamo,"Fashion accessories",3,9,6.873076923076923
Georgetown,"Food and beverages",6.6,8.1,7.333333333333333
Lufkin,"Health and beauty",4.3,9.8,6.7250000000000005
"Cedar Park","Health and beauty",5.5,5.5,5.5
Brownwood,"Food and beverages",6.4,9.2,7.8
"Cedar Park","Food and beverages",6.6,9.9,8.466666666666667
Mission,"Food and beverages",7.7,8.3,8
Alice,"Sports and travel",6.5,7.9,6.925000000000001
Baytown,"Sports and travel",4,8.9,6.45
Bryan,"Fashion accessories",4,9.9,6.760869565217392
Temple,"Food and beverages",7.3,7.3,7.3
